"label","l","p","s","defined","selected","visible","locked","description"
"resampledCurve1-122",14.7347,-181.859,61.7252,1,1,1,0,""
"resampledCurve1-123",14.7582,-181.835,61.7293,1,1,1,0,""
"resampledCurve1-124",14.7816,-181.811,61.7333,1,1,1,0,""
"resampledCurve1-125",14.805,-181.787,61.7374,1,1,1,0,""
"resampledCurve1-126",14.8285,-181.762,61.7414,1,1,1,0,""
"resampledCurve1-127",14.8519,-181.738,61.7455,1,1,1,0,""
"resampledCurve1-128",14.8753,-181.714,61.7496,1,1,1,0,""
"resampledCurve1-129",14.8988,-181.69,61.7536,1,1,1,0,""
"resampledCurve1-130",14.9222,-181.665,61.7577,1,1,1,0,""
"resampledCurve1-131",14.9457,-181.641,61.7617,1,1,1,0,""
"resampledCurve1-132",14.9691,-181.617,61.7658,1,1,1,0,""
"resampledCurve1-133",14.9925,-181.593,61.7698,1,1,1,0,""
"resampledCurve1-134",15.016,-181.568,61.7739,1,1,1,0,""
"resampledCurve1-135",15.0394,-181.544,61.7779,1,1,1,0,""
"resampledCurve1-136",15.0628,-181.52,61.782,1,1,1,0,""
"resampledCurve1-137",15.0863,-181.496,61.786,1,1,1,0,""
"resampledCurve1-138",15.1097,-181.472,61.7901,1,1,1,0,""
"resampledCurve1-139",15.1331,-181.447,61.7941,1,1,1,0,""
"resampledCurve1-140",15.1568,-181.423,61.7976,1,1,1,0,""
"resampledCurve1-141",15.1805,-181.399,61.8005,1,1,1,0,""
"resampledCurve1-142",15.2043,-181.375,61.8035,1,1,1,0,""
"resampledCurve1-143",15.2281,-181.351,61.8064,1,1,1,0,""
"resampledCurve1-144",15.2519,-181.327,61.8093,1,1,1,0,""
"resampledCurve1-145",15.2756,-181.303,61.8123,1,1,1,0,""
"resampledCurve1-146",15.2994,-181.279,61.8152,1,1,1,0,""
"resampledCurve1-147",15.3232,-181.255,61.8181,1,1,1,0,""
"resampledCurve1-148",15.347,-181.231,61.8211,1,1,1,0,""
"resampledCurve1-149",15.3707,-181.207,61.824,1,1,1,0,""
"resampledCurve1-150",15.3945,-181.182,61.827,1,1,1,0,""
"resampledCurve1-151",15.4183,-181.158,61.8299,1,1,1,0,""
"resampledCurve1-152",15.4421,-181.134,61.8328,1,1,1,0,""
"resampledCurve1-153",15.4658,-181.11,61.8358,1,1,1,0,""
"resampledCurve1-154",15.4896,-181.086,61.8387,1,1,1,0,""
"resampledCurve1-155",15.5134,-181.062,61.8416,1,1,1,0,""
"resampledCurve1-156",15.5372,-181.038,61.8446,1,1,1,0,""
"resampledCurve1-157",15.561,-181.014,61.8475,1,1,1,0,""
"resampledCurve1-158",15.5847,-180.99,61.8504,1,1,1,0,""
"resampledCurve1-159",15.6085,-180.966,61.8534,1,1,1,0,""
"resampledCurve1-160",15.6323,-180.942,61.8563,1,1,1,0,""
"resampledCurve1-161",15.6561,-180.918,61.8593,1,1,1,0,""
"resampledCurve1-162",15.6798,-180.894,61.8622,1,1,1,0,""
"resampledCurve1-163",15.7036,-180.87,61.8651,1,1,1,0,""
"resampledCurve1-164",15.7274,-180.846,61.8681,1,1,1,0,""
"resampledCurve1-165",15.7512,-180.821,61.871,1,1,1,0,""
"resampledCurve1-166",15.7749,-180.797,61.8739,1,1,1,0,""
"resampledCurve1-167",15.7987,-180.773,61.8769,1,1,1,0,""
"resampledCurve1-168",15.8225,-180.749,61.8798,1,1,1,0,""
"resampledCurve1-169",15.8463,-180.725,61.8827,1,1,1,0,""
"resampledCurve1-170",15.87,-180.701,61.8857,1,1,1,0,""
"resampledCurve1-171",15.8938,-180.677,61.8886,1,1,1,0,""
"resampledCurve1-172",15.9191,-180.655,61.8917,1,1,1,0,""
"resampledCurve1-173",15.9446,-180.632,61.8947,1,1,1,0,""
"resampledCurve1-174",15.9701,-180.61,61.8978,1,1,1,0,""
"resampledCurve1-175",15.9956,-180.588,61.9009,1,1,1,0,""
"resampledCurve1-176",16.0212,-180.566,61.9039,1,1,1,0,""
"resampledCurve1-177",16.0467,-180.544,61.907,1,1,1,0,""
"resampledCurve1-178",16.0722,-180.521,61.9101,1,1,1,0,""
"resampledCurve1-179",16.0977,-180.499,61.9131,1,1,1,0,""
"resampledCurve1-180",16.1232,-180.477,61.9162,1,1,1,0,""
"resampledCurve1-181",16.1488,-180.455,61.9193,1,1,1,0,""
"resampledCurve1-182",16.1743,-180.433,61.9223,1,1,1,0,""
"resampledCurve1-183",16.1998,-180.411,61.9254,1,1,1,0,""
"resampledCurve1-184",16.2253,-180.388,61.9285,1,1,1,0,""
"resampledCurve1-185",16.2508,-180.366,61.9315,1,1,1,0,""
"resampledCurve1-186",16.2764,-180.344,61.9346,1,1,1,0,""
"resampledCurve1-187",16.3019,-180.322,61.9377,1,1,1,0,""
"resampledCurve1-188",16.3274,-180.3,61.9407,1,1,1,0,""
"resampledCurve1-189",16.3529,-180.277,61.9438,1,1,1,0,""
"resampledCurve1-190",16.3784,-180.255,61.9469,1,1,1,0,""
"resampledCurve1-191",16.4039,-180.233,61.9499,1,1,1,0,""
"resampledCurve1-192",16.4295,-180.211,61.953,1,1,1,0,""
"resampledCurve1-193",16.455,-180.189,61.9561,1,1,1,0,""
"resampledCurve1-194",16.4805,-180.166,61.9591,1,1,1,0,""
"resampledCurve1-195",16.506,-180.144,61.9622,1,1,1,0,""
"resampledCurve1-196",16.5315,-180.122,61.9653,1,1,1,0,""
"resampledCurve1-197",16.5571,-180.1,61.9683,1,1,1,0,""
"resampledCurve1-198",16.5826,-180.078,61.9714,1,1,1,0,""
"resampledCurve1-199",16.6081,-180.055,61.9745,1,1,1,0,""
"resampledCurve1-200",16.6336,-180.033,61.9775,1,1,1,0,""
"resampledCurve1-201",16.6591,-180.011,61.9806,1,1,1,0,""
"resampledCurve1-202",16.6847,-179.989,61.9837,1,1,1,0,""
"resampledCurve1-203",16.7099,-179.966,61.9868,1,1,1,0,""
"resampledCurve1-204",16.7338,-179.943,61.9902,1,1,1,0,""
"resampledCurve1-205",16.7577,-179.919,61.9937,1,1,1,0,""
"resampledCurve1-206",16.7816,-179.895,61.9971,1,1,1,0,""
"resampledCurve1-207",16.8055,-179.871,62.0005,1,1,1,0,""
"resampledCurve1-208",16.8294,-179.847,62.004,1,1,1,0,""
"resampledCurve1-209",16.8533,-179.823,62.0074,1,1,1,0,""
"resampledCurve1-210",16.8772,-179.799,62.0108,1,1,1,0,""
"resampledCurve1-211",16.9011,-179.775,62.0143,1,1,1,0,""
"resampledCurve1-212",16.925,-179.751,62.0177,1,1,1,0,""
"resampledCurve1-213",16.9489,-179.728,62.0211,1,1,1,0,""
"resampledCurve1-214",16.9728,-179.704,62.0246,1,1,1,0,""
"resampledCurve1-215",16.9967,-179.68,62.028,1,1,1,0,""
"resampledCurve1-216",17.0206,-179.656,62.0315,1,1,1,0,""
"resampledCurve1-217",17.0445,-179.632,62.0349,1,1,1,0,""
"resampledCurve1-218",17.0684,-179.608,62.0383,1,1,1,0,""
"resampledCurve1-219",17.0923,-179.584,62.0418,1,1,1,0,""
"resampledCurve1-220",17.1162,-179.56,62.0452,1,1,1,0,""
"resampledCurve1-221",17.1401,-179.537,62.0486,1,1,1,0,""
"resampledCurve1-222",17.164,-179.513,62.0521,1,1,1,0,""
"resampledCurve1-223",17.1879,-179.489,62.0555,1,1,1,0,""
"resampledCurve1-224",17.2118,-179.465,62.0589,1,1,1,0,""
"resampledCurve1-225",17.2357,-179.441,62.0624,1,1,1,0,""
"resampledCurve1-226",17.2596,-179.417,62.0658,1,1,1,0,""
"resampledCurve1-227",17.2835,-179.393,62.0692,1,1,1,0,""
"resampledCurve1-228",17.3074,-179.369,62.0727,1,1,1,0,""
"resampledCurve1-229",17.3313,-179.346,62.0761,1,1,1,0,""
"resampledCurve1-230",17.3552,-179.322,62.0796,1,1,1,0,""
"resampledCurve1-231",17.3791,-179.298,62.083,1,1,1,0,""
"resampledCurve1-232",17.403,-179.274,62.0864,1,1,1,0,""
"resampledCurve1-233",17.4269,-179.25,62.0899,1,1,1,0,""
"resampledCurve1-234",17.4508,-179.226,62.0933,1,1,1,0,""
"resampledCurve1-235",17.4729,-179.201,62.0963,1,1,1,0,""
"resampledCurve1-236",17.4937,-179.174,62.0989,1,1,1,0,""
"resampledCurve1-237",17.5145,-179.147,62.1014,1,1,1,0,""
"resampledCurve1-238",17.5353,-179.121,62.104,1,1,1,0,""
"resampledCurve1-239",17.5561,-179.094,62.1066,1,1,1,0,""
"resampledCurve1-240",17.5768,-179.067,62.1092,1,1,1,0,""
"resampledCurve1-241",17.5976,-179.04,62.1118,1,1,1,0,""
"resampledCurve1-242",17.6184,-179.014,62.1144,1,1,1,0,""
"resampledCurve1-243",17.6392,-178.987,62.117,1,1,1,0,""
"resampledCurve1-244",17.66,-178.96,62.1196,1,1,1,0,""
"resampledCurve1-245",17.6807,-178.933,62.1222,1,1,1,0,""
"resampledCurve1-246",17.7015,-178.907,62.1248,1,1,1,0,""
"resampledCurve1-247",17.7223,-178.88,62.1274,1,1,1,0,""
"resampledCurve1-248",17.7431,-178.853,62.13,1,1,1,0,""
"resampledCurve1-249",17.7639,-178.827,62.1326,1,1,1,0,""
"resampledCurve1-250",17.7847,-178.8,62.1352,1,1,1,0,""
"resampledCurve1-251",17.8054,-178.773,62.1378,1,1,1,0,""
"resampledCurve1-252",17.8262,-178.746,62.1404,1,1,1,0,""
"resampledCurve1-253",17.847,-178.72,62.1429,1,1,1,0,""
"resampledCurve1-254",17.8678,-178.693,62.1455,1,1,1,0,""
"resampledCurve1-255",17.8886,-178.666,62.1481,1,1,1,0,""
"resampledCurve1-256",17.9093,-178.639,62.1507,1,1,1,0,""
"resampledCurve1-257",17.9301,-178.613,62.1533,1,1,1,0,""
"resampledCurve1-258",17.9509,-178.586,62.1559,1,1,1,0,""
"resampledCurve1-259",17.9717,-178.559,62.1585,1,1,1,0,""
"resampledCurve1-260",17.9925,-178.532,62.1611,1,1,1,0,""
"resampledCurve1-261",18.0133,-178.506,62.1637,1,1,1,0,""
"resampledCurve1-262",18.034,-178.479,62.1663,1,1,1,0,""
"resampledCurve1-263",18.0548,-178.452,62.1689,1,1,1,0,""
"resampledCurve1-264",18.0756,-178.426,62.1715,1,1,1,0,""
"resampledCurve1-265",18.0964,-178.399,62.1741,1,1,1,0,""
"resampledCurve1-266",18.1172,-178.372,62.1767,1,1,1,0,""
"resampledCurve1-267",18.1391,-178.346,62.1789,1,1,1,0,""
"resampledCurve1-268",18.1613,-178.321,62.1811,1,1,1,0,""
"resampledCurve1-269",18.1835,-178.295,62.1833,1,1,1,0,""
"resampledCurve1-270",18.2057,-178.269,62.1855,1,1,1,0,""
"resampledCurve1-271",18.2279,-178.244,62.1876,1,1,1,0,""
"resampledCurve1-272",18.2501,-178.218,62.1898,1,1,1,0,""
"resampledCurve1-273",18.2722,-178.193,62.192,1,1,1,0,""
"resampledCurve1-274",18.2944,-178.167,62.1942,1,1,1,0,""
"resampledCurve1-275",18.3166,-178.141,62.1964,1,1,1,0,""
"resampledCurve1-276",18.3388,-178.116,62.1985,1,1,1,0,""
"resampledCurve1-277",18.361,-178.09,62.2007,1,1,1,0,""
"resampledCurve1-278",18.3831,-178.064,62.2029,1,1,1,0,""
"resampledCurve1-279",18.4053,-178.039,62.2051,1,1,1,0,""
"resampledCurve1-280",18.4275,-178.013,62.2073,1,1,1,0,""
"resampledCurve1-281",18.4497,-177.988,62.2095,1,1,1,0,""
"resampledCurve1-282",18.4719,-177.962,62.2116,1,1,1,0,""
"resampledCurve1-283",18.494,-177.936,62.2138,1,1,1,0,""
"resampledCurve1-284",18.5162,-177.911,62.216,1,1,1,0,""
"resampledCurve1-285",18.5384,-177.885,62.2182,1,1,1,0,""
"resampledCurve1-286",18.5606,-177.86,62.2204,1,1,1,0,""
"resampledCurve1-287",18.5828,-177.834,62.2225,1,1,1,0,""
"resampledCurve1-288",18.6049,-177.808,62.2247,1,1,1,0,""
"resampledCurve1-289",18.6271,-177.783,62.2269,1,1,1,0,""
"resampledCurve1-290",18.6493,-177.757,62.2291,1,1,1,0,""
"resampledCurve1-291",18.6715,-177.731,62.2313,1,1,1,0,""
"resampledCurve1-292",18.6937,-177.706,62.2335,1,1,1,0,""
"resampledCurve1-293",18.7158,-177.68,62.2356,1,1,1,0,""
"resampledCurve1-294",18.738,-177.655,62.2378,1,1,1,0,""
"resampledCurve1-295",18.7602,-177.629,62.24,1,1,1,0,""
"resampledCurve1-296",18.7824,-177.603,62.2422,1,1,1,0,""
"resampledCurve1-297",18.8046,-177.578,62.2444,1,1,1,0,""
"resampledCurve1-298",18.8273,-177.553,62.2466,1,1,1,0,""
"resampledCurve1-299",18.8531,-177.531,62.2494,1,1,1,0,""
"resampledCurve1-300",18.8789,-177.509,62.2522,1,1,1,0,""
"resampledCurve1-301",18.9048,-177.487,62.2549,1,1,1,0,""
"resampledCurve1-302",18.9306,-177.465,62.2577,1,1,1,0,""
"resampledCurve1-303",18.9564,-177.443,62.2605,1,1,1,0,""
"resampledCurve1-304",18.9822,-177.421,62.2632,1,1,1,0,""
"resampledCurve1-305",19.008,-177.4,62.266,1,1,1,0,""
"resampledCurve1-306",19.0339,-177.378,62.2688,1,1,1,0,""
"resampledCurve1-307",19.0597,-177.356,62.2715,1,1,1,0,""
"resampledCurve1-308",19.0855,-177.334,62.2743,1,1,1,0,""
